Model,MSE
Linear Reg,0.08853036553194911
Ridge Reg,2.613994578878547
Lasso Reg,2.4645959746580806
ElasticNet Reg,15.030646686882003
Poly Reg - Degree 4,0.0005906034276616809
KNeighbors Reg,0.6773611111111224
DecisionTree Reg,0.19404999999999972
RandomForest Reg,2.5276508899999843
SupportVector Reg,360.9404192226846
GradientBoosting Reg,0.19362451744045311
