Model,RMSE
Linear Reg,0.297540527545323
Ridge Reg,1.6167852605954034
Lasso Reg,1.5699031736569236
ElasticNet Reg,3.876937797654484
Poly Reg - Degree 4,0.02430233379043422
KNeighbors Reg,0.8230195083417661
DecisionTree Reg,0.4405110668303348
RandomForest Reg,1.5898587641674289
SupportVector Reg,18.998432020108517
GradientBoosting Reg,0.44002785984577514
