Model,R-squared
Linear Reg,0.9997767807544808
Ridge Reg,0.9934091100360601
Lasso Reg,0.9937858016210923
ElasticNet Reg,0.9621019342577988
Poly Reg - Degree 4,0.999998510860644
KNeighbors Reg,0.998292111014591
DecisionTree Reg,0.9995107250000299
RandomForest Reg,0.993626815825153
SupportVector Reg,0.08992979332969875
GradientBoosting Reg,0.9995117978059012
