Model,R-squared
Linear Reg,0.9980309577592521
Ridge Reg,0.9942178542255892
Lasso Reg,0.9910990964875885
ElasticNet Reg,0.9927460411485508
Poly Reg - Degree 13,0.9990693979976193
KNeighbors Reg,0.9815554360053749
DecisionTree Reg,0.9965522099546624
RandomForest Reg,0.9931729214109022
SupportVector Reg,0.6974247929130464
GradientBoosting Reg,0.9965493770027396
