Model,MSE
Linear Reg,0.0050628255301785234
Ridge Reg,0.01486712404645094
Lasso Reg,0.022886112147180337
ElasticNet Reg,0.01865146785984207
Poly Reg - Degree 13,0.0023927752683958995
KNeighbors Reg,0.04742488888888901
DecisionTree Reg,0.008865000000000144
RandomForest Reg,0.01755386810000089
SupportVector Reg,0.7779850790082623
GradientBoosting Reg,0.008872284120687753
