Model,MAE
Linear Reg,0.07113206167500818
Ridge Reg,0.11407328570998176
Lasso Reg,0.11669084902275673
ElasticNet Reg,0.11699393942410863
Poly Reg - Degree 13,0.04854748460806757
KNeighbors Reg,0.1766666666666672
DecisionTree Reg,0.08700000000000063
RandomForest Reg,0.13240000000000363
SupportVector Reg,0.8584294134098558
GradientBoosting Reg,0.08704086080166107
