Model,RMSE
Linear Reg,0.07115353490992928
Ridge Reg,0.12193081663980988
Lasso Reg,0.15128156578770705
ElasticNet Reg,0.13657037694845128
Poly Reg - Degree 13,0.04891600217102681
KNeighbors Reg,0.21777256229582506
DecisionTree Reg,0.09415412895885206
RandomForest Reg,0.13249101139322958
SupportVector Reg,0.8820346246085027
GradientBoosting Reg,0.09419280291342727
