Model,R-squared
Linear Reg,0.9640305225575858
Ridge Reg,0.9662960194118232
Lasso Reg,0.8338899596208401
ElasticNet Reg,0.8866481254500957
Poly Reg - Degree 4,0.9933109160690187
KNeighbors Reg,0.7697871439607971
DecisionTree Reg,0.8952482532056614
RandomForest Reg,0.8904311546129943
SupportVector Reg,0.5752306390215998
GradientBoosting Reg,0.9088468626577454
