Model,MSE
Linear Reg,0.13694321057225523
Ridge Reg,0.12831799734091756
Lasso Reg,0.6324151434845625
ElasticNet Reg,0.4315539376433471
Poly Reg - Degree 4,0.025466720520540886
KNeighbors Reg,0.8764677683040832
DecisionTree Reg,0.3988114795950138
RandomForest Reg,0.4171511662912974
SupportVector Reg,1.6171844625275476
GradientBoosting Reg,0.347038772007922
