Model,MAE
Linear Reg,0.34059772736820326
Ridge Reg,0.3080042591219911
Lasso Reg,0.6925421474894137
ElasticNet Reg,0.5784674640365923
Poly Reg - Degree 4,0.13880700475200833
KNeighbors Reg,0.8546925333333334
DecisionTree Reg,0.5024582666666669
RandomForest Reg,0.5337249606666671
SupportVector Reg,0.9964525558925498
GradientBoosting Reg,0.47668760281067774
