Model,RMSE
Linear Reg,0.37005838805822955
Ridge Reg,0.3582150155157061
Lasso Reg,0.7952453354057241
ElasticNet Reg,0.6569276502350522
Poly Reg - Degree 4,0.15958295811439543
KNeighbors Reg,0.9361985731158124
DecisionTree Reg,0.6315152251490171
RandomForest Reg,0.6458724071295331
SupportVector Reg,1.2716856775664132
GradientBoosting Reg,0.5890999677541342
