Model,MAE
Linear Reg,1.234758527905581
Ridge Reg,1.2164143998981591
Lasso Reg,1.267244839779189
ElasticNet Reg,1.227548242310463
Poly Reg - Degree 1,1.2347585279055804
KNeighbors Reg,1.1924499718888886
DecisionTree Reg,0.6476177370000001
RandomForest Reg,0.8825234246700009
SupportVector Reg,1.2448126941734146
GradientBoosting Reg,0.6475810201685239
