Model,RMSE
Linear Reg,1.3305810999831698
Ridge Reg,1.413688211958783
Lasso Reg,1.8139166307563583
ElasticNet Reg,1.7097757514070038
Poly Reg - Degree 1,1.330581099983169
KNeighbors Reg,1.7817532297576404
DecisionTree Reg,1.027883371828035
RandomForest Reg,1.4010039369532459
SupportVector Reg,1.9933865557665802
GradientBoosting Reg,1.0279289834830723
