Model,R-squared
Linear Reg,0.7616261638735219
Ridge Reg,0.730918922364625
Lasso Reg,0.5569930595357202
ElasticNet Reg,0.6064008136548603
Poly Reg - Degree 1,0.7616261638735221
KNeighbors Reg,0.5725641009622484
DecisionTree Reg,0.8577463016911224
RandomForest Reg,0.7357259037023842
SupportVector Reg,0.46499365239912394
GradientBoosting Reg,0.857733676580623
