Model,MSE
Linear Reg,1.7704460636324217
Ridge Reg,1.998514360631221
Lasso Reg,3.290293543334499
ElasticNet Reg,2.9233331200993846
Poly Reg - Degree 1,1.7704460636324202
KNeighbors Reg,3.1746445717517826
DecisionTree Reg,1.0565442260805702
RandomForest Reg,1.9628120313584947
SupportVector Reg,3.973589960710949
GradientBoosting Reg,1.0566379950845421
