Model,MAE
Linear Reg,0.00687586420309616
Ridge Reg,0.389450386011958
Lasso Reg,0.5553424750000002
ElasticNet Reg,0.5553424750000002
Poly Reg - Degree 1,0.006875864203096604
KNeighbors Reg,0.09073122133333289
DecisionTree Reg,0.3271404109999998
RandomForest Reg,0.13356724704000422
SupportVector Reg,0.18631374888786478
GradientBoosting Reg,0.2476168898966189
