Model,RMSE
Linear Reg,0.008881276470858176
Ridge Reg,0.4549207186849615
Lasso Reg,0.6848548046301144
ElasticNet Reg,0.6848548046301144
Poly Reg - Degree 1,0.008881276470857676
KNeighbors Reg,0.09104740216800938
DecisionTree Reg,0.3476897601464525
RandomForest Reg,0.13544610208249527
SupportVector Reg,0.2549508293156711
GradientBoosting Reg,0.24898105502274712
