Model,MSE
Linear Reg,7.887707175181907e-05
Ridge Reg,0.20695286028884188
Lasso Reg,0.46902610342495216
ElasticNet Reg,0.46902610342495216
Poly Reg - Degree 1,7.887707175181019e-05
KNeighbors Reg,0.00828962944154324
DecisionTree Reg,0.12088816931069767
RandomForest Reg,0.018345646569341734
SupportVector Reg,0.06499992536874846
GradientBoosting Reg,0.06199156576024022
