Model,MSE
Linear Reg,0.0002289839092910367
Ridge Reg,0.0007004854564850058
Lasso Reg,0.0016812499999999937
ElasticNet Reg,0.0016812499999999937
Poly Reg - Degree 1,0.00022898390929116348
KNeighbors Reg,0.001511111111111107
DecisionTree Reg,0.00025000000000000044
RandomForest Reg,0.0004746399999998982
SupportVector Reg,0.00184999999999999
GradientBoosting Reg,5.181997168353286e-05
