Model,MAE
Linear Reg,0.011066752747040276
Ridge Reg,0.02646468463789986
Lasso Reg,0.03249999999999997
ElasticNet Reg,0.03249999999999997
Poly Reg - Degree 1,0.011066752747045383
KNeighbors Reg,0.033333333333333326
DecisionTree Reg,0.015000000000000013
RandomForest Reg,0.020999999999997354
SupportVector Reg,0.03499999999999992
GradientBoosting Reg,0.005957596545198562
