Model,RMSE
Linear Reg,0.01513221428909321
Ridge Reg,0.026466685785813942
Lasso Reg,0.04100304866714174
ElasticNet Reg,0.04100304866714174
Poly Reg - Degree 1,0.015132214289097399
KNeighbors Reg,0.03887301263230195
DecisionTree Reg,0.01581138830084191
RandomForest Reg,0.021786234185831616
SupportVector Reg,0.04301162633521302
GradientBoosting Reg,0.00719860901032504
